Name,Lon,Lat,Team,Date & Time,Hgt,Corrected,Flown
CHAR_017,-104.9118308,69.15819188,OtherTeams_2019,,12.372013,Yes,Old
CHAR_018,-104.9131254,69.1577141,OtherTeams_2019,,13.087596,Yes,Old
CHAR_019,-104.9123523,69.15701965,OtherTeams_2019,,19.627402,Yes,Old
CHAR_020,-104.912227,69.1563732,OtherTeams_2019,,19.916935,Yes,Old
CHAR_021,-104.9129588,69.15613197,OtherTeams_2019,,18.27538,Yes,Old
CHAR_022,-104.9137806,69.15581297,OtherTeams_2019,,17.541517,Yes,Old
CHAR_023,-105.2036602,69.16958742,OtherTeams_2019,,30.335884,Yes,Old
CHAR_024,-105.2046922,69.16940061,OtherTeams_2019,,30.623561,Yes,Old
CHAR_025,-105.205233,69.16963871,OtherTeams_2019,,31.040987,Yes,Old
CHAR_026,-105.2035557,69.16899648,OtherTeams_2019,,26.937006,Yes,Old
CHAR_027,-105.202495,69.16886458,OtherTeams_2019,,25.951705,Yes,Old
CHAR_028,-105.2030264,69.16824772,OtherTeams_2019,,24.203127,Yes,Old
CHAR_029,-105.2013261,69.16780459,OtherTeams_2019,,25.142181,Yes,Old
CHAR_030,-105.201127,69.16839698,OtherTeams_2019,,24.65031,Yes,Old
CHAR_031,-105.2019496,69.16764292,OtherTeams_2019,,24.412791,Yes,Old
CHAR_032,-105.2026744,69.16771753,OtherTeams_2019,,24.604149,Yes,Old
CHAR_033,-105.2032771,69.16757111,OtherTeams_2019,,23.823742,Yes,Old
CHAR_034,-105.2044117,69.16769956,OtherTeams_2019,,23.425828,Yes,Old
CHAR_035,-105.2027415,69.16956503,OtherTeams_2019,,28.741965,Yes,Old
CHAR_036,-105.2022376,69.19601061,OtherTeams_2019,,71.61396,Yes,Old
CHAR_037,-105.2042295,69.19545982,OtherTeams_2019,,69.385045,Yes,Old
CHAR_038,-105.1972875,69.19263252,OtherTeams_2019,,68.072781,Yes,Old
CHAR_039,-105.1963961,69.192167,OtherTeams_2019,,64.062247,Yes,Old
CHAR_040,-105.205059,69.19420417,OtherTeams_2019,,62.674404,Yes,Old
CHAR_041,-105.1957677,69.15314744,OtherTeams_2019,,27.989199,Yes,Old
CHAR_042,-105.2404641,69.10063583,OtherTeams_2019,,8.992695,Yes,Old
CHAR_043,-104.836988,69.17931648,OtherTeams_2019,,11.659478,Yes,Old
CHAR_044,-104.8347146,69.17969232,OtherTeams_2019,,11.185177,Yes,Old
CHAR_045,-104.8351852,69.17988307,OtherTeams_2019,,11.322363,Yes,Old
CHAR_046,-104.8334536,69.17945473,OtherTeams_2019,,11.808647,Yes,Old
CHAR_047,-104.8315988,69.17799992,OtherTeams_2019,,11.852338,Yes,Old
CHAR_048,-104.8488449,69.17448747,OtherTeams_2019,,12.113925,Yes,Old
CHAR_049,-104.8518401,69.17409421,OtherTeams_2019,,11.412877,Yes,Old
CHAR_050,-104.9748207,69.13553292,OtherTeams_2019,,9.963928,Yes,Old
COLD_0000,-150.0291902,67.4611361,Kovach_2022,"Jul 12, 2022 at 10:11:05 PM",,,NewFlown
COLD_0001,-150.0285784,67.4611498,Kovach_2022,"Jul 12, 2022 at 10:11:44 PM",,,NewFlown
COLD_0002,-150.093981,67.3989181,Kovach_2022,"Jul 12, 2022 at 10:12:17 PM",,,NewFlown
COLD_0003,-150.090352,67.39784,Kovach_2022,"Jul 12, 2022 at 10:17:45 PM",,,NewFlown
COLD_0004,-150.091235,67.3979633,Kovach_2022,"Jul 12, 2022 at 10:19:03 PM",,,NewFlown
COLD_0005,-150.1841058,67.254227,Kovach_2022,"Jul 12, 2022 at 10:20:08 PM",,,NewFlown
COLD_0006,-149.5465933,68.1167859,Kovach_2022,"Jul 12, 2022 at 10:20:52 PM",,,NewFlown
COLD_0007,-149.5467608,68.1165655,Kovach_2022,"Jul 12, 2022 at 10:21:36 PM",,,NewFlown
COLD_0008,-149.5436433,68.1174686,Kovach_2022,"Jul 12, 2022 at 10:22:32 PM",,,NewFlown
COLD_0009,-149.7379442,68.0051849,Kovach_2022,"Jul 12, 2022 at 10:23:55 PM",,,NewFlown
COLD_0010,-149.7633063,67.9898711,Kovach_2022,"Jul 12, 2022 at 10:25:50 PM",,,NewFlown
COLD_0011,-149.317294,68.37566,Kovach_2022,"Jul 12, 2022 at 10:35:55 PM",,,NewFlown
COLD_0012,-149.318233,68.375568,Kovach_2022,"Jul 12, 2022 at 10:38:39 PM",,,NewFlown
COLD_0013,-149.3202783,68.3979048,Kovach_2022,"Jul 12, 2022 at 10:29:09 PM",,,NewFlown
