Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_FAIR_0005_GR1,50.68031708,-3.740067128,1.933252077,0.110045635,0.190274556,0.041424059,,,,,,,,,,,,,,,,
ABV_FAIR_0006_GR1,49.80586262,-3.652556944,1.859804374,0.156042081,0.20798464,0.028201713,,,,,,,,,,,,,,,,
ABV_FAIR_0007_GR1,51.69962481,-2.625508733,2.917093439,0.196367346,0.210124679,0.034782341,,,,,,,,,,,,,,,,
ABV_FAIR_0008_GR1,50.33085375,-3.316269984,1.895592236,0.163765736,0.185007686,0.036334719,,,,,,,,,,,,,,,,
ABV_FAIR_0009_CA1,50.51662377,-3.163536782,2.430813023,0.157746693,0.222202783,0.04225919,,,,,,,,,,,,,,,,
ABV_HAIN_0001_CA1,50.20201777,-4.303019825,2.226530062,0.162169377,0.323588536,0.051437108,,,,,,,,,,,,,,,,
ABV_HAIN_0001_CA2,49.61091702,-3.142366645,2.3544834,0.15649572,0.324902267,0.047224635,,,,,,,,,,,,,,,,
ABV_HAIN_0001_CA3,50.84696855,-3.009056416,2.399167577,0.174949256,0.24540979,0.044650467,,,,,,,,,,,,,,,,
ABV_HAIN_0002_GR1,50.82841369,-2.444091664,1.679585433,0.153537364,0.215150913,0.04876962,,,,,,,,,,,,,,,,
ABV_HAIN_0003_GR1,49.72431557,-3.109195791,1.556866333,0.194278985,0.449316831,0.057906655,,,,,,,,,,,,,,,,
ABV_HAIN_0004_CA1,49.45274508,-3.896565301,2.217165711,0.168854016,0.299145962,0.043462894,,,,,,,,,,,,,,,,
ABV_HAIN_0005_CA1,50.77444983,-2.127274659,3.248789175,0.173904577,0.312608877,0.059817085,,,,,,,,,,,,,,,,
ABV_HAIN_0006_CA1,51.88346487,-3.708413559,0.788558324,0.067548926,0.320325359,0.051575018,,,,,,,,,,,,,,,,
ABV_HAIN_0006_UN1,49.13033456,-3.787870379,2.343480422,0.168745633,0.24975668,0.056868187,,,,,,,,,,,,,,,,
ABV_HAIN_0007_UN1,50.81592081,-3.257703811,2.309635616,0.160956601,0.361795246,0.05009303,,,,,,,,,,,,,,,,
ABV_HAIN_0008_PIEL,50.99529092,-3.816926291,0.710338648,0.015079775,0.384677859,0.067600466,,,,,,,,,,,,,,,,
ABV_HAIN_0008_Sedgel,44.86025669,-3.064367996,1.529848881,0.133040329,0.432547232,0.060378696,,,,,,,,,,,,,,,,
ABV_HAIN_0009_ARUV,58.23081112,-3.371300403,0.901985585,0.028924631,0.446095539,0.099480565,,,,,,,,,,,,,,,,
ABV_HAIN_0009_CLIP,49.71910357,-3.378541868,1.487641599,0.134335264,0.39118889,0.041197976,,,,,,,,,,,,,,,,
ABV_HAIN_0009_Elkhorn,45.9224075,-4.774429486,1.566935325,0.118101971,0.718796052,0.07215271,,,,,,,,,,,,,,,,
ABV_HAIN_0009_Grass,45.66614381,-2.909555268,1.518513306,0.128355789,0.490464647,0.049632292,,,,,,,,,,,,,,,,
ABV_HAIN_0009_JUNI,51.29694315,-2.724758053,0.884576737,0.082927154,0.363343319,0.073467414,,,,,,,,,,,,,,,,
ABV_HAIN_0009_SEDGEL,45.92706531,-1.798676437,1.971872332,0.189013302,0.532037982,0.06259901,,,,,,,,,,,,,,,,
ABV_HAIN_0009_UNKI,38.76497004,-9.782988685,1.190524676,0.095878386,3.999758741,0.424635797,,,,,,,,,,,,,,,,
ABV_HAIN_0010_ALNUS,51.428351,-3.795704527,1.486791647,0.128642286,0.401596235,0.061878547,,,,,,,,,,,,,,,,
